

2016年01月07日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9139.84,-,172.9,-1.86
發行量加權股價指數,7852.06,-,138.33,-1.73
臺灣公司治理100指數,4333.07,-,53.75,-1.23
臺灣50指數,5722.19,-,93.5,-1.61
臺灣中型100指數,5745.05,-,122.18,-2.08
臺灣資訊科技指數,6607.54,-,135.98,-2.02
臺灣發達指數,6779.3,-,81.44,-1.19
臺灣高股息指數,4877.19,-,49.15,-1
臺灣就業99指數,4848.73,-,75.51,-1.53
臺灣高薪100指數,4299.66,-,64.2,-1.47
臺灣低波動高股息指數,1208.31,-,19.23,-1.57
未含金融保險股指數,6621.41,-,112.03,-1.66
未含電子股指數,11418.66,-,173.91,-1.5
未含金融電子股指數,9886.86,-,123.34,-1.23
小型股300指數,4947.87,-,119.14,-2.35
水泥窯製類指數,374.52,+,5.49,1.49
塑膠化工類指數,709.61,-,5.68,-0.79
機電類指數,1731.49,-,34.18,-1.94
水泥類指數,98.12,+,2.28,2.38
食品類指數,1287.44,-,13.9,-1.07
塑膠類指數,202.93,-,0.23,-0.11
紡織纖維類指數,523.87,-,6.05,-1.14
電機機械類指數,134.72,-,2.54,-1.85
電器電纜類指數,27.5,-,0.56,-2
化學生技醫療類指數,95.66,-,2.44,-2.49
化學類指數,87.5,-,1.03,-1.16
生技醫療類指數,74.95,-,3,-3.85
玻璃陶瓷類指數,31.7,-,1.09,-3.32
造紙類指數,143.22,-,2.7,-1.85
鋼鐵類指數,70.93,+,0.06,0.08
橡膠類指數,270.11,-,3.84,-1.4
汽車類指數,259.11,-,5.58,-2.11
電子類指數,307.68,-,6.08,-1.94
半導體類指數,101.97,-,2.37,-2.27
電腦及週邊設備類指數,81.37,-,1.23,-1.49
光電類指數,25.75,-,1.05,-3.92
通信網路類指數,111.13,-,0.16,-0.14
電子零組件類指數,71.67,-,1.16,-1.59
電子通路類指數,89.23,-,1.48,-1.63
資訊服務類指數,77.26,-,1.61,-2.04
其他電子類指數,74.53,-,1.67,-2.19
建材營造類指數,214.07,-,4.73,-2.16
航運類指數,64.23,-,0.81,-1.25
觀光類指數,113.25,-,3.4,-2.91
金融保險類指數,917.43,-,20.21,-2.16
貿易百貨類指數,190.19,-,6.75,-3.43
油電燃氣類指數,97.97,-,0.97,-0.98
其他類指數,230.49,-,4.17,-1.78
臺指日報酬兩倍指數,9139.9,-,327.81,-3.46
臺指日報酬反向一倍指數,10314.14,+,175.52,1.73
電子類兩倍槓桿指數,6608.03,-,266.42,-3.88
電子類反向指數,11836.75,+,225.01,1.94
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9783.26,-,185.08,-1.86
發行量加權股價報酬指數,12429.29,-,218.96,-1.73
臺灣公司治理100報酬指數,4499.79,-,55.81,-1.23
臺灣50報酬指數,9154.32,-,149.59,-1.61
臺灣中型100報酬指數,8582.52,-,182.53,-2.08
臺灣資訊科技報酬指數,10050.87,-,206.84,-2.02
臺灣發達報酬指數,9796.84,-,117.69,-1.19
臺灣高股息報酬指數,8640.08,-,87.07,-1
臺灣就業99報酬指數,5725.47,-,89.16,-1.53
臺灣高薪100報酬指數,4520.3,-,67.49,-1.47
臺灣低波動高股息報酬指數,2492.12,-,39.67,-1.57
未含金融電子股報酬指數,15725.75,-,196.17,-1.23
小型股300報酬指數,4947.87,-,119.14,-2.35
水泥類報酬指數,138.04,+,3.2,2.37
食品類報酬指數,1530.61,-,16.53,-1.07
塑膠類報酬指數,258.96,-,0.29,-0.11
紡織纖維類報酬指數,661.41,-,7.65,-1.14
電機機械類報酬指數,167.87,-,3.17,-1.85
電器電纜類報酬指數,31.45,-,0.64,-1.99
化學生技醫療類報酬指數,120.08,-,3.06,-2.48
化學類報酬指數,112.76,-,1.32,-1.16
生技醫療類報酬指數,89.28,-,3.56,-3.83
玻璃陶瓷類報酬指數,34.05,-,1.17,-3.32
造紙類報酬指數,170.98,-,3.22,-1.85
鋼鐵類報酬指數,91.5,+,0.09,0.1
橡膠類報酬指數,336.69,-,4.8,-1.41
汽車類報酬指數,316.03,-,6.81,-2.11
電子類報酬指數,447.23,-,8.84,-1.94
半導體類報酬指數,141.89,-,3.3,-2.27
電腦及週邊設備類報酬指數,123.36,-,1.86,-1.49
光電類報酬指數,31.33,-,1.28,-3.93
通信網路類報酬指數,178.05,-,0.26,-0.15
電子零組件類報酬指數,103.05,-,1.67,-1.59
電子通路類報酬指數,140.73,-,2.33,-1.63
資訊服務類報酬指數,123.69,-,2.57,-2.04
其他電子類報酬指數,89.85,-,2.02,-2.2
建材營造類報酬指數,294.16,-,6.49,-2.16
航運類報酬指數,77.34,-,0.98,-1.25
觀光類報酬指數,128.52,-,3.86,-2.92
金融保險類報酬指數,1185.94,-,26.13,-2.16
貿易百貨類報酬指數,231.25,-,8.22,-3.43
油電燃氣類報酬指數,117.78,-,1.18,-0.99
其他類報酬指數,306.22,-,5.54,-1.78
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","101209724519","2567710888","976791"
"2.台灣存託憑證","21431941","12527566","1022"
"3.受益憑證","0","0","0"
"4.ETF","14049578198","676518160","98686"
"5.受益證券","4177510","264000","74"
"6.變更交易股票","12212396","3962122","612"
"7.認購(售)權證","2279915150","2659731000","74413"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","101221936915","2571673010","977403"
"總計(1~12)","117577039714","5920713736","1151598"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",1943(5),92(0)
"下跌(跌停)",4115(105),738(6)
"持平",281,37
"未成交",4144,7
"無比價",867,1
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年01月07日
"每日收盤行情("全部")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","台灣50          ","39962301","11325","2289801488","58.3","58.3","56.7","57.35","-","1.1","57.3","144","57.35","254","0.00"
="0051  ","中100           ","83020","57","1949794","24.17","24.17","23.24","23.25","-","0.58","23.25","6","23.3","6","0.00"
="0052  ","FB科技          ","38000","5","1327910","35.78","35.8","34.86","34.86","-","0.99","35.3","1","35.55","1","0.00"
="0053  ","寶電子          ","22000","12","537220","24.84","24.84","24.21","24.21","-","0.71","24.31","8","24.55","8","0.00"
="0054  ","台商50          ","54010","12","1030929","19.22","19.22","19.04","19.05","-","0.24","19.03","8","19.21","8","0.00"
="0055  ","寶金融          ","1067010","389","13099213","12.45","12.49","12.13","12.21","-","0.25","12.2","3","12.21","12","0.00"
="0056  ","高股息          ","8950721","3541","187134647","21.1","21.29","20.75","21.29","+","0.19","21.2","1","21.29","79","0.00"
="0057  ","FB摩台          ","536000","21","18946660","35.76","35.76","34.98","35.2","-","0.72","35.25","50","35.34","58","0.00"
="0058  ","FB發達          ","234000","31","7812160","33.64","33.64","33.25","33.25","-","0.39","33.35","10","33.58","10","0.00"
="0059  ","FB金融          ","51000","13","1461810","29.3","29.3","28.55","28.57","-","1.02","28.54","1","28.81","1","0.00"
="0060  ","新台灣          ","2010","3","54076","27.12","27.12","26.69","26.69","-","0.21","26.52","10","26.77","8","0.00"
="0061  ","寶滬深          ","21119470","3580","346470750","17.33","17.33","16.1","16.21","-","1.12","16.21","212","16.23","15","0.00"
="006203","寶摩臺          ","2010","3","54237","27.04","27.04","26.93","26.93","-","0.39","26.76","10","27.01","8","0.00"
="006204","豐臺灣          ","4300","7","168045","39.3","39.3","38.73","38.73","-","0.96","38.93","15","39.12","15","0.00"
="006205","FB上証          ","15180000","2623","431245210","29.97","30.11","27.76","28.08","-","2.06","28.08","86","28.09","21","0.00"
="006206","元上證          ","5032545","729","135294937","28","28.01","26.3","26.49","-","1.52","26.46","17","26.49","1","0.00"
="006207","FH滬深          ","12431200","1245","266867226","22.65","22.65","20.98","21.18","-","1.46","21.17","14","21.18","86","0.00"
="006208","FB台50          ","1010","2","32762","32.44","32.44","32.44","32.44","-","0.65","32.45","1","32.76","1","0.00"
="00631L","T50正2          ","45635097","7683","735192779","16.53","16.7","15.75","16.02","-","0.61","16.02","324","16.03","38","0.00"
="00632R","T50反1          ","66465287","8543","1394513074","20.7","21.22","20.64","21.01","+","0.36","21","141","21.01","480","0.00"
="00633L","上証2X          ","143713994","23210","4252015426","32.06","32.24","28.31","28.73","-","3.61","28.73","885","28.75","126","0.00"
="00634R","上証反          ","28919150","3284","325030317","10.8","11.42","10.73","11.36","+","0.65","11.36","131","11.37","158","0.00"
="00635U","元黃金          ","1637100","537","29988104","18.21","18.42","18.21","18.37","+","0.4","18.37","17","18.38","8","0.00"
="00636 ","CFA50           ","4975360","613","83150218","17.45","17.45","16.34","16.5","-","0.95","16.5","11","16.55","90","0.00"
="00637L","滬深2X          ","211313291","21589","2309576521","11.9","11.93","10.48","10.63","-","1.31","10.63","1,592","10.64","68","0.00"
="00638R","滬深反          ","11350000","785","235240310","19.92","21.19","19.92","21.07","+","1.23","21.05","22","21.07","246","0.00"
="00639 ","深100           ","7984365","1319","84345981","11.2","11.2","10.25","10.28","-","0.86","10.28","85","10.29","1","0.00"
="00640L","日本2X          ","4850000","552","91635680","19.33","19.4","18.63","18.75","-","0.71","18.73","115","18.75","183","0.00"
="00641R","日本反          ","6172000","663","123740630","19.84","20.18","19.78","20.12","+","0.34","20.12","97","20.13","118","0.00"
="00642U","元石油          ","15544155","3864","246173422","16.05","16.05","15.57","15.69","-","0.81","15.69","37","15.7","11","0.00"
="00643 ","深中小          ","7919000","1176","133130200","17.9","17.93","16.36","16.4","-","1.46","16.39","7","16.4","8","0.00"
="00645 ","FB日本          ","1768000","78","33326430","19.06","19.09","18.7","18.74","-","0.31","18.73","105","18.74","99","0.00"
="00646 ","S&P500          ","4145054","257","80827777","19.55","19.7","19.36","19.43","-","0.19","19.43","102","19.44","253","0.00"
="00647L","S&P正2          ","4154000","270","78239120","19.05","19.09","18.56","18.62","-","0.54","18.6","52","18.62","227","0.00"
="00648R","S&P反1          ","5171000","567","107773360","20.75","20.97","20.66","20.97","+","0.4","20.96","30","20.97","458","0.00"
="008201","上證50          ","30700","98","2389775","83","83","74.3","77","-","5.7","76.95","1","78.8","6","0.00"
="01001T","富邦R1          ","3000","1","47340","15.78","15.78","15.78","15.78","X","0","15.7","4","15.97","30","0.00"
="01002T","國泰R1          ","155000","43","2652700","17.26","17.26","17.04","17.1","-","0.16","17.1","14","17.23","1","0.00"
="01003T","新光R1          ","76000","20","1076030","14.15","14.19","14.1","14.19","+","0.02","14.15","4","14.19","9","0.00"
="01004T","富邦R2          ","21000","6","263700","12.56","12.56","12.54","12.56"," ","0","12.54","7","12.56","10","0.00"
="01007T","國泰R2          ","9000","4","137740","15.26","15.66","15.26","15.66","X","0","15.28","2","15.67","1","0.00"
="03001X","元展01          ","9000","5","511500","56.5","57","56.5","57"," ","0","57","20","58","10","99.2"
="03002X","元展02          ","73000","10","420450","5.15","5.9","5.15","5.65","+","1.04","5.8","10","5.9","10","27.35"
="03003X","元展03          ","3000","3","129300","43.7","43.7","42.4","42.4","X","0","43.1","10","43.5","10","133"
="03004X","元展04          ","0","0","0","--","--","--","--"," ","0","5.6","10","5.85","10","17.45"
="03005X","元展05          ","16000","3","141300","8.85","8.85","8.8","8.8","-","0.8","8.75","11","8.8","10","20"
="03006X","元展06          ","89000","47","1551800","18.3","18.7","16.6","17.1","-","1.5","16.9","10","17.1","10","39.65"
="030071","統一K8          ","1147000","12","11470","0.01","0.01","0.01","0.01"," ","0","0.01","10","0.02","648","57.35"
="03007X","元展07          ","9000","4","67600","7.85","7.85","7.4","7.45","-","0.35","7.45","10","7.6","10","15.9"
="03008X","元展08          ","5000","4","72900","15.2","15.2","14.3","14.3","-","1.1","15.6","10","16.6","10","52.5"
="03009X","元展09          ","11000","5","163500","15.1","15.1","14.6","14.6","X","0","14.6","11","14.7","10","24.2"
="03010X","元展10          ","23000","10","619100","27","27.1","26.7","27","-","0.7","27.3","10","27.4","10","78.3"
="03011X","元展11          ","128000","9","243980","1.93","1.95","1.72","1.79","-","0.05","1.74","10","1.76","10","6.48"
="03012X","元展12          ","10000","1","71000","7.1","7.1","7.1","7.1","-","0.75","7.45","10","7.5","10","39.65"
="03013X","元展13          ","80000","6","258100","3.33","3.33","3.18","3.18","-","0.16","3.18","10","3.23","10","10.9"
="03014X","元展14          ","0","0","0","--","--","--","--"," ","0","7.05","10","7.25","10","14.85"
="03015X","元展15          ","112000","3","1218800","10.9","10.9","10.7","10.7","-","0.4","10.5","10","10.7","10","18.6"
="030160","國泰HI          ","47000","6","470","0.01","0.01","0.01","0.01","-","0.01","--","0","0.01","62","15.9"
="03016X","元展16          ","60000","6","78600","1.36","1.36","1.26","1.26","-","0.12","1.27","10","1.28","10","7.66"
="03017X","元展17          ","660000","10","769860","1.17","1.17","1.15","1.17","-","0.1","1.16","10","1.17","10","8.75"
="03018X","元展18          ","736000","9","1286020","1.76","1.76","1.74","1.75","-","0.11","1.73","10","1.77","10","14.6"
="03019X","元展19          ","531000","8","855600","1.6","1.62","1.6","1.6","-","0.09","1.59","10","1.6","10","13.3"
="03020X","元展20          ","0","0","0","--","--","--","--"," ","0","1.83","10","1.84","10","15.25"
="030216","國泰HV          ","10000","1","33400","3.34","3.34","3.34","3.34","-","0.3","3.04","170","3.14","10","46.65"
="03021X","元展21          ","12000","3","99050","8.25","8.3","8.25","8.3","+","0.1","8.3","9","8.4","10","26.15"
="03022X","富展01          ","2000","2","27700","13.8","13.9","13.8","13.9","X","0","13.8","10","13.9","10","78.3"
="03023X","富展02          ","0","0","0","--","--","--","--"," ","0","15.4","10","15.5","10","28.08"
="03024X","富展03          ","0","0","0","--","--","--","--"," ","0","22.5","20","23","11","133"
="03025X","元展22          ","18000","12","245200","13.9","13.9","13.5","13.6","-","0.5","13.6","499","13.7","495","57.35"
="03026X","元展23          ","320000","7","1367920","4.82","4.82","4.25","4.27","-","0.55","4.26","100","4.28","100","16.21"
="03027X","元展24          ","7000","5","57200","8.3","8.3","8.05","8.15","X","0","8.1","100","8.15","100","28.08"
="03028X","元展25          ","1000","1","13000","13","13","13","13","X","0","13.5","10","13.7","10","57.6"
="03029X","元展26          ","0","0","0","--","--","--","--"," ","0","7.1","10","7.2","10","30.1"
="03030X","元展27          ","250000","27","534930","2.05","2.18","2.03","2.13","-","0.02","2.09","10","2.11","10","9.08"
="03031X","元展28          ","4000","3","24150","6.05","6.05","6","6","-","0.15","5.55","10","5.6","10","46.8"
="030323","1Z元富          ","150000","3","1500","0.01","0.01","0.01","0.01"," ","0","0.01","25","0.1","15","28.08"
="030324","2A元富          ","506000","13","15280","0.04","0.04","0.03","0.03","-","0.02","0.02","600","0.03","445","78.3"
="03032X","元展29          ","110000","4","305640","2.79","2.79","2.76","2.76","-","0.01","2.8","10","2.82","10","9.53"
="03033X","元展30          ","112000","11","661700","5.9","6.05","5.75","5.75","-","1.25","--","0","5.75","8","226"
="03034X","元展31          ","1293000","134","1265210","1.36","1.49","0.52","0.58","-","1.12","0.58","1","0.62","5","206"
="03035X","元展32          ","60000","2","318000","5.3","5.3","5.3","5.3","-","0.2","5.55","10","5.65","10","25.25"
="03037X","元展34          ","82000","3","504400","6.15","6.2","6.15","6.2","+","0.15","6.05","10","6.15","10","18.6"
="03038X","元展35          ","10000","1","70500","7.05","7.05","7.05","7.05","-","0.55","7","10","7.1","10","65.7"
="03039X","元展36          ","0","0","0","--","--","--","--"," ","0","4.99","10","5.05","10","268"
="03040X","元展37          ","138000","9","591380","4.29","4.33","4.09","4.09","-","0.27","4.09","6","4.13","10","11.45"
="030419","3F元富          ","0","0","0","--","--","--","--"," ","0","0.01","25","0.02","5","16.21"
="03041X","元展38          ","80000","4","324970","4","4.22","4","4.19","-","0.14","4.26","10","4.29","10","148"
="03042F","06群益          ","0","0","0","--","--","--","--"," ","0","0.15","100","0.16","100","0.00"
="03042X","元展39          ","0","0","0","--","--","--","--"," ","0","7.45","10","7.55","10","35.85"
="03043F","B5群益          ","25000","1","14750","0.59","0.59","0.59","0.59","X","0","0.57","100","0.58","100","0.00"
="03043X","元展40          ","25000","2","239350","9.55","9.6","9.55","9.6","+","0.05","9.6","10","9.85","10","52.2"
="03044F","B6群益          ","0","0","0","--","--","--","--"," ","0","1.19","200","1.2","200","0.00"
="03044X","元展41          ","0","0","0","--","--","--","--"," ","0","5.5","10","5.6","10","16.9"
="030453","統一M1          ","10000","1","1000","0.1","0.1","0.1","0.1","-","0.01","0.03","10","0.08","248","26.49"
